Winner;Black Score;White Score;;;;
AI Opponent - Easy,29,35
AI Opponent - Easy,0,30
AI Opponent - Easy,8,56
AI Opponent - Easy,19,45
AI Opponent - Easy,16,48
AI Opponent - Easy,22,42
AI Opponent - Easy,14,50
AI Opponent - Easy,14,50
AI Opponent - Easy,30,34
AI Opponent - Easy,30,34
DQN,51,13
DQN,51,13
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
AI Opponent - Easy,15,48
DQN,36,28
DQN,36,28
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,6,58
Draw,32,32
Draw,32,32
Draw,32,32
Draw,32,32
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,6,58
AI Opponent - Easy,22,42
AI Opponent - Easy,12,52
AI Opponent - Easy,18,46
AI Opponent - Easy,18,46
AI Opponent - Easy,0,18
AI Opponent - Easy,0,18
AI Opponent - Easy,11,51
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,22,42
AI Opponent - Easy,0,63
DQN,39,25
DQN,39,25
AI Opponent - Easy,25,39
AI Opponent - Easy,22,42
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
AI Opponent - Easy,16,48
AI Opponent - Easy,16,48
AI Opponent - Easy,10,54
AI Opponent - Easy,10,54
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,13,51
AI Opponent - Easy,21,43
AI Opponent - Easy,23,41
AI Opponent - Easy,23,41
DQN,42,22
DQN,42,22
AI Opponent - Easy,4,58
AI Opponent - Easy,12,51
AI Opponent - Easy,16,48
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,27,37
AI Opponent - Easy,23,41
AI Opponent - Easy,23,41
AI Opponent - Easy,20,44
AI Opponent - Easy,20,44
DQN,44,20
DQN,44,20
AI Opponent - Easy,20,44
AI Opponent - Easy,25,39
AI Opponent - Easy,16,48
AI Opponent - Easy,0,63
AI Opponent - Easy,0,22
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,20,44
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,25,39
Draw,32,32
AI Opponent - Easy,21,43
AI Opponent - Easy,4,57
AI Opponent - Easy,24,40
AI Opponent - Easy,20,44
AI Opponent - Easy,20,44
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
DQN,37,27
DQN,46,18
DQN,46,18
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,27,37
AI Opponent - Easy,27,37
DQN,42,22
DQN,42,22
AI Opponent - Easy,20,44
DQN,35,29
AI Opponent - Easy,0,44
DQN,40,24
DQN,39,25
DQN,39,25
AI Opponent - Easy,11,53
AI Opponent - Easy,27,37
AI Opponent - Easy,27,37
AI Opponent - Easy,19,45
AI Opponent - Easy,15,49
AI Opponent - Easy,15,49
AI Opponent - Easy,9,55
DQN,45,19
DQN,45,19
DQN,47,17
DQN,47,17
AI Opponent - Easy,7,57
Draw,32,32
AI Opponent - Easy,20,44
AI Opponent - Easy,20,44
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,15,49
AI Opponent - Easy,15,49
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
DQN,33,31
DQN,33,31
AI Opponent - Easy,1,31
AI Opponent - Easy,27,37
AI Opponent - Easy,14,50
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
DQN,34,30
DQN,34,30
AI Opponent - Easy,28,36
AI Opponent - Easy,28,36
AI Opponent - Easy,18,46
AI Opponent - Easy,1,57
AI Opponent - Easy,17,47
AI Opponent - Easy,14,50
AI Opponent - Easy,14,50
DQN,45,19
DQN,45,19
DQN,34,30
AI Opponent - Easy,26,38
AI Opponent - Easy,26,38
AI Opponent - Easy,21,43
AI Opponent - Easy,21,43
DQN,38,26
DQN,38,26
AI Opponent - Easy,12,52
DQN,44,20
DQN,44,20
AI Opponent - Easy,31,33
AI Opponent - Easy,31,33
AI Opponent - Easy,24,40
AI Opponent - Easy,24,40
AI Opponent - Easy,17,47
AI Opponent - Easy,17,47
AI Opponent - Easy,2,46
AI Opponent - Easy,12,52
AI Opponent - Easy,19,45
AI Opponent - Easy,19,45
AI Opponent - Easy,17,47
AI Opponent - Easy,25,39
AI Opponent - Easy,25,39
AI Opponent - Easy,9,55
AI Opponent - Easy,3,61
AI Opponent - Easy,29,35
AI Opponent - Easy,29,35
AI Opponent - Easy,22,42
AI Opponent - Easy,21,43
DQN,39,25
DQN,39,25
Draw,32,32
Draw,32,32
AI Opponent - Easy,0,22
AI Opponent - Easy,17,47
DQN,46,18
